date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/05/21,4,0,0,0,0,0,0,0
2012/05/22,1,0,0,0,0,0,0,0
2012/05/23,0,0,0,0,0,0,0,0
2012/05/24,1,0,0,0,0,0,0,0
2012/05/25,0,0,0,0,0,0,0,0
2012/05/26,0,0,0,0,0,0,0,0
2012/05/27,0,0,0,0,0,0,0,0
2012/05/28,0,0,0,0,0,0,0,0
2012/05/29,0,0,0,0,0,0,0,0
2012/05/30,1,0,0,0,0,0,0,0
2012/05/31,1,0,0,0,0,0,0,0
2012/06/01,0,0,0,0,0,0,0,0
2012/06/02,0,0,0,0,0,0,0,0
2012/06/03,0,0,0,0,0,0,0,0
2012/06/04,2,0,0,0,0,0,0,0
2012/06/05,2,0,0,0,0,0,0,0
2012/06/06,3,0,0,0,0,0,0,0
2012/06/07,5,0,0,0,0,0,0,0
2012/06/08,1,0,0,0,0,0,0,0
2012/06/09,0,0,0,0,0,0,0,0
2012/06/10,0,0,0,0,0,0,0,0
2012/06/11,5,0,0,0,0,0,0,0
2012/06/12,1,0,0,0,0,0,0,0
2012/06/13,0,0,0,0,0,0,0,0
2012/06/14,0,0,0,0,0,0,0,0
2012/06/15,0,0,0,0,0,0,0,0
2012/06/16,0,0,0,0,0,0,0,0
2012/06/17,0,0,0,0,0,0,0,0
2012/06/18,0,0,0,0,0,0,0,0
2012/06/19,0,0,0,0,0,0,0,0
2012/06/20,0,0,0,0,0,0,0,0
2012/06/21,0,0,0,0,0,0,0,0
2012/06/22,4,0,0,0,0,0,0,0
2012/06/23,0,0,0,0,0,0,0,0
2012/06/24,0,0,0,0,0,0,0,0
2012/06/25,0,0,0,0,0,0,0,0
2012/06/26,0,0,0,0,0,0,0,0
2012/06/27,0,0,0,0,0,0,0,0
2012/06/28,0,0,0,0,0,0,0,0
2012/06/29,6,0,0,0,0,0,0,0
2012/06/30,1,0,0,0,0,0,0,0
2012/07/01,0,0,0,0,0,0,0,0
2012/07/02,0,0,0,0,0,0,0,0
2012/07/03,0,0,0,0,0,0,0,0
2012/07/04,0,0,0,0,0,0,0,0
2012/07/05,0,0,0,0,0,0,0,0
2012/07/06,0,0,0,0,0,0,0,0
2012/07/07,0,0,0,0,0,0,0,0
2012/07/08,0,0,0,0,0,0,0,0
2012/07/09,1,0,0,0,0,0,0,0
2012/07/10,3,0,0,0,0,0,0,0
2012/07/11,1,0,0,0,0,0,0,0
2012/07/12,0,0,0,0,0,0,0,0
2012/07/13,0,0,0,0,0,0,0,0
2012/07/14,0,0,0,0,0,0,0,0
2012/07/15,0,0,0,0,0,0,0,0
2012/07/16,0,0,0,0,0,0,0,0
2012/07/17,0,0,0,0,0,0,0,0
2012/07/18,1,0,0,0,0,0,0,0
2012/07/19,4,0,0,0,0,0,0,0
2012/07/20,0,0,0,0,0,0,0,0
2012/07/21,0,0,0,0,0,0,0,0
2012/07/22,0,0,0,0,0,0,0,0
2012/07/23,1,0,0,0,0,0,0,0
2012/07/24,0,0,0,0,0,0,0,0
2012/07/25,0,0,0,0,0,0,0,0
2012/07/26,0,0,0,0,0,0,0,0
2012/07/27,0,0,0,0,0,0,0,0
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,0,0,0
2012/07/30,1,0,0,0,0,0,0,0
2012/07/31,0,0,0,0,0,0,0,0
2012/08/01,2,0,0,0,0,0,0,0
2012/08/02,3,0,0,0,0,0,0,0
2012/08/03,0,0,0,0,0,0,0,0
2012/08/04,0,0,0,0,0,0,0,0
2012/08/05,0,0,0,0,0,0,0,0
2012/08/06,0,0,0,0,0,0,0,0
2012/08/07,8,0,0,0,0,0,0,0
2012/08/08,0,0,0,0,0,0,0,0
2012/08/09,0,0,0,0,0,0,0,0
2012/05/21,4,0,0,0,0,0,0,0
2012/05/22,1,0,0,0,0,0,0,0
2012/05/23,0,0,0,0,0,0,0,0
2012/05/24,1,0,0,0,0,0,0,0
2012/05/25,0,0,0,0,0,0,0,0
2012/05/26,0,0,0,0,0,0,0,0
2012/05/27,0,0,0,0,0,0,0,0
2012/05/28,0,0,0,0,0,0,0,0
2012/05/29,0,0,0,0,0,0,0,0
2012/05/30,1,0,0,0,0,0,0,0
2012/05/31,1,0,0,0,0,0,0,0
2012/06/01,0,0,0,0,0,0,0,0
2012/06/02,0,0,0,0,0,0,0,0
2012/06/03,0,0,0,0,0,0,0,0
2012/06/04,2,0,0,0,0,0,0,0
2012/06/05,2,0,0,0,0,0,0,0
2012/06/06,3,0,0,0,0,0,0,0
2012/06/07,5,0,0,0,0,0,0,0
2012/06/08,1,0,0,0,0,0,0,0
2012/06/09,0,0,0,0,0,0,0,0
2012/06/10,0,0,0,0,0,0,0,0
2012/06/11,5,0,0,0,0,0,0,0
2012/06/12,1,0,0,0,0,0,0,0
2012/06/13,0,0,0,0,0,0,0,0
2012/06/14,0,0,0,0,0,0,0,0
2012/06/15,0,0,0,0,0,0,0,0
2012/06/16,0,0,0,0,0,0,0,0
2012/06/17,0,0,0,0,0,0,0,0
2012/06/18,0,0,0,0,0,0,0,0
2012/06/19,0,0,0,0,0,0,0,0
2012/06/20,0,0,0,0,0,0,0,0
2012/06/21,0,0,0,0,0,0,0,0
2012/06/22,4,0,0,0,0,0,0,0
2012/06/23,0,0,0,0,0,0,0,0
2012/06/24,0,0,0,0,0,0,0,0
2012/06/25,0,0,0,0,0,0,0,0
2012/06/26,0,0,0,0,0,0,0,0
2012/06/27,0,0,0,0,0,0,0,0
2012/06/28,0,0,0,0,0,0,0,0
2012/06/29,6,0,0,0,0,0,0,0
2012/06/30,1,0,0,0,0,0,0,0
2012/07/01,0,0,0,0,0,0,0,0
2012/07/02,0,0,0,0,0,0,0,0
2012/07/03,0,0,0,0,0,0,0,0
2012/07/04,0,0,0,0,0,0,0,0
2012/07/05,0,0,0,0,0,0,0,0
