date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/03/22,set([]),0,0,0,0,0,0,0,0
2012/03/23,set([]),1,0,0,0,0,0,0,0
2012/03/24,set([]),0,0,0,0,0,0,0,0
2012/03/25,set([]),0,0,0,0,0,0,0,0
2012/03/26,set([]),0,0,0,0,0,0,0,0
2012/03/27,set([]),0,0,0,0,0,0,0,0
2012/03/28,set([]),0,0,0,0,0,0,0,0
2012/03/29,set([]),0,0,0,0,0,0,0,0
2012/03/30,set([]),0,0,0,0,0,0,0,0
2012/03/31,set([]),0,0,0,0,0,0,0,0
2012/04/01,set([]),0,0,0,0,0,0,0,0
2012/04/02,set([]),0,0,0,0,0,0,0,0
2012/04/03,set([]),0,0,0,0,0,0,0,0
2012/04/04,set([]),0,0,0,0,0,0,0,0
2012/04/05,set([]),0,0,0,0,0,0,0,0
2012/04/06,set([]),0,0,0,0,0,0,0,0
2012/04/07,set([]),0,0,0,0,0,0,0,0
2012/04/08,set([]),0,0,0,0,0,0,0,0
2012/04/09,set([]),0,0,0,0,0,0,0,0
2012/04/10,set([]),0,0,0,0,0,0,0,0
2012/04/11,set([]),0,0,0,0,0,0,0,0
2012/04/12,set([4800L]),1,0,0,1,1,0,0,0
2012/04/13,set([4800L]),0,0,0,1,1,0,0,0
2012/04/14,set([4800L]),0,0,0,0,0,0,1,1
2012/04/15,set([4800L]),0,0,0,0,0,0,1,1
2012/04/16,set([4800L]),0,0,0,0,0,0,1,1
2012/04/17,set([4800L]),0,0,0,0,0,0,1,1
2012/04/18,set([4800L]),0,0,0,0,0,0,1,1
2012/04/19,set([4800L]),0,0,0,0,0,0,1,1
2012/04/20,set([4800L]),0,0,0,0,0,0,1,1
2012/04/21,set([4800L]),1,0,0,0,0,0,1,1
2012/04/22,set([4800L]),0,0,0,0,0,0,1,1
2012/04/23,set([4800L]),0,0,0,0,0,0,1,1
2012/04/24,set([]),0,0,0,0,0,0,0,0
2012/04/25,set([]),0,0,0,0,0,0,0,0
2012/04/26,set([]),0,0,0,0,0,0,0,0
2012/04/27,set([]),0,0,0,0,0,0,0,0
2012/04/28,set([]),0,0,0,0,0,0,0,0
2012/04/29,set([]),0,0,0,0,0,0,0,0
2012/04/30,set([]),0,0,0,0,0,0,0,0
2012/05/01,set([]),0,0,0,0,0,0,0,0
2012/05/02,set([6373L]),1,0,0,1,1,0,0,0
2012/05/03,set([6472L, 6373L]),1,0,0,2,2,0,0,0
2012/05/04,set([6472L, 6373L]),0,0,0,2,2,0,0,0
2012/05/05,set([6373L]),1,0,0,1,1,0,0,0
2012/05/06,set([6373L]),0,0,0,1,1,0,0,0
2012/05/07,set([6373L]),0,0,0,1,1,0,0,0
2012/05/08,set([6373L]),4,4,0,1,1,0,0,0
2012/05/09,set([6373L]),1,0,0,1,1,0,0,0
2012/05/10,set([6373L]),0,0,0,1,1,0,0,0
2012/05/11,set([6373L]),5,4,0,1,1,0,0,0
2012/05/12,set([]),1,0,0,0,0,0,0,0
2012/05/13,set([]),0,0,0,0,0,0,0,0
2012/05/14,set([]),0,0,0,0,0,0,0,0
2012/05/15,set([]),0,0,0,0,0,0,0,0
2012/05/16,set([]),0,0,0,0,0,0,0,0
2012/05/17,set([]),0,0,0,0,0,0,0,0
2012/05/18,set([]),1,1,0,0,0,0,0,0
2012/05/19,set([]),0,0,0,0,0,0,0,0
2012/05/20,set([]),1,0,0,0,0,0,0,0
2012/05/21,set([]),1,0,0,0,0,0,0,0
2012/05/22,set([]),0,0,0,0,0,0,0,0
2012/05/23,set([8572L]),1,1,1,1,0,0,0,0
2012/05/24,set([8572L]),0,0,1,1,0,0,0,0
2012/05/25,set([8572L]),1,0,1,1,0,0,0,0
2012/05/26,set([8572L]),0,0,1,1,0,0,0,0
2012/05/27,set([]),1,0,0,0,0,0,0,0
2012/05/28,set([]),0,0,0,0,0,0,0,0
2012/05/29,set([]),0,0,0,0,0,0,0,0
2012/05/30,set([]),0,0,0,0,0,0,0,0
2012/05/31,set([]),0,0,0,0,0,0,0,0
2012/06/01,set([]),0,0,0,0,0,0,0,0
2012/06/02,set([]),0,0,0,0,0,0,0,0
2012/06/03,set([]),0,0,0,0,0,0,0,0
2012/06/04,set([]),1,0,0,0,0,0,0,0
2012/06/05,set([]),0,0,0,0,0,0,0,0
2012/06/06,set([]),1,0,0,0,0,0,0,0
2012/06/07,set([]),0,0,0,0,0,0,0,0
2012/06/08,set([]),0,0,0,0,0,0,0,0
2012/06/09,set([]),0,0,0,0,0,0,0,0
2012/06/10,set([]),1,0,0,0,0,0,0,0
2012/06/11,set([]),1,0,0,0,0,0,0,0
2012/06/12,set([]),1,0,0,0,0,0,0,0
2012/06/13,set([]),0,0,0,0,0,0,0,0
2012/06/14,set([11351L]),4,0,1,1,0,0,0,0
2012/06/15,set([11592L, 11600L, 11594L, 11595L, 11351L]),7,0,4,5,1,0,0,0
2012/06/16,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,5,1,0,0,0
2012/06/17,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,5,1,0,0,0
2012/06/18,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,5,1,0,1,1
2012/06/19,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/06/20,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/06/21,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,1,4,4,0,0,1,1
2012/06/22,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/06/23,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,1,1
2012/06/24,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,1,1
2012/06/25,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/06/26,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/06/27,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,1,1
2012/06/28,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,1,1
2012/06/29,set([11592L, 11600L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,1,1
2012/06/30,set([11592L, 11600L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,1,1
2012/07/01,set([11592L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,0,0
2012/07/02,set([11592L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,0,0
2012/07/03,set([11592L, 11594L, 11595L, 11351L]),1,0,4,4,0,0,0,0
2012/07/04,set([11592L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,0,0
2012/07/05,set([11592L, 11594L, 11595L, 11351L]),0,0,4,4,0,0,0,0
2012/07/06,set([11592L, 14440L, 11594L, 11595L, 11351L]),1,0,5,5,0,0,0,0
2012/07/07,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/08,set([11592L, 14440L, 11594L, 11595L, 11351L]),1,0,5,5,0,0,0,0
2012/07/09,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/10,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/11,set([11592L, 14440L, 11594L, 11595L, 11351L]),1,0,5,5,0,0,0,0
2012/07/12,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/13,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/14,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/15,set([11592L, 14440L, 11594L, 11595L, 11351L]),0,0,5,5,0,0,0,0
2012/07/16,set([11592L, 11594L, 11595L, 14440L, 11351L, 15740L]),1,1,5,6,1,0,0,0
2012/07/17,set([11592L, 11594L, 11595L, 14440L, 11351L, 15740L]),2,2,5,6,1,0,0,0
2012/07/18,set([15985L, 11592L, 11594L, 11595L, 14440L, 11351L, 15740L]),3,2,5,7,2,0,0,0
2012/07/19,set([15985L, 11592L, 11594L, 11595L, 14440L, 16059L, 15740L]),1,1,4,7,3,0,0,0
