date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2011/09/07,1,1,0,0,0,0,0,0
2011/09/08,0,0,0,0,0,2,2,0
2011/09/09,3,3,1,1,0,0,0,0
2011/09/10,0,0,1,1,0,0,0,0
2011/09/11,0,0,1,1,0,0,0,0
2011/09/12,0,0,1,1,0,6,6,0
2011/09/13,6,6,1,1,0,4,4,0
2011/09/14,5,4,1,1,0,9,9,0
2011/09/15,10,8,1,1,0,22,22,0
2011/09/16,22,22,1,1,0,9,9,0
2011/09/17,16,7,1,1,0,0,0,0
2011/09/18,0,0,1,1,0,5,5,0
2011/09/19,5,5,1,1,0,24,24,0
2011/09/20,30,22,1,1,0,24,24,0
2011/09/21,26,23,1,1,0,24,24,0
2011/09/22,30,21,1,1,0,21,21,0
2011/09/23,21,17,1,1,0,0,0,0
2011/09/24,0,0,1,1,0,0,0,0
2011/09/25,0,0,1,1,0,9,9,0
2011/09/26,10,10,1,1,0,7,7,0
2011/09/27,8,8,2,2,0,4,4,0
2011/09/28,5,3,2,2,0,4,4,0
2011/09/29,4,4,2,2,0,4,4,0
2011/09/30,4,4,2,2,0,3,3,0
2011/10/01,3,3,2,2,0,0,0,0
2011/10/02,0,0,2,2,0,14,14,0
2011/10/03,14,8,2,2,0,5,5,0
2011/10/04,6,5,1,1,0,15,15,0
2011/10/05,15,14,1,1,0,6,6,0
2011/10/06,12,9,1,1,0,12,12,0
2011/10/07,11,7,1,1,0,0,0,0
2011/10/08,0,0,1,1,0,0,0,0
2011/10/09,0,0,1,1,0,1,1,0
2011/10/10,1,1,1,1,0,17,17,0
2011/10/11,21,15,2,2,0,14,14,0
2011/10/12,14,13,3,3,0,0,0,0
2011/10/13,0,0,3,3,0,10,10,0
2011/10/14,12,8,1,1,0,41,41,0
2011/10/15,42,29,1,1,0,26,26,0
2011/10/16,27,22,1,1,0,0,0,0
2011/10/17,3,1,1,1,0,13,13,0
2011/10/18,12,11,1,1,0,3,3,0
2011/10/19,3,3,1,1,0,4,4,0
2011/10/20,5,4,1,1,0,5,5,0
2011/10/21,6,6,2,2,0,3,3,0
2011/10/22,7,3,4,4,0,0,0,0
2011/10/23,0,0,4,4,0,34,34,0
2011/10/24,39,35,7,7,0,9,9,0
2011/10/25,12,7,8,8,0,26,26,0
2011/10/26,24,19,4,4,0,8,8,0
2011/10/27,14,6,6,6,0,45,45,0
2011/10/28,45,28,6,6,0,6,6,0
2011/10/29,4,4,7,7,0,3,3,0
2011/10/30,0,0,7,7,0,11,11,0
2011/10/31,8,7,7,7,0,25,25,0
2011/11/01,24,20,7,7,0,28,28,0
2011/11/02,30,22,11,11,0,23,23,0
2011/11/03,28,21,13,13,0,14,14,0
2011/11/04,13,11,13,13,0,3,4,1
2011/11/05,2,1,13,13,0,2,2,0
2011/11/06,1,0,13,13,0,35,35,0
2011/11/07,32,27,6,6,0,26,26,0
2011/11/08,28,24,4,4,0,63,63,0
2011/11/09,63,59,6,6,0,14,14,0
2011/11/10,16,15,7,7,0,5,5,0
2011/11/11,10,5,13,13,0,0,0,0
2011/11/12,0,0,13,13,0,1,5,4
2011/11/13,4,0,12,12,0,21,21,0
2011/11/14,21,19,11,11,0,30,30,0
2011/11/15,34,26,8,8,0,10,10,0
2011/11/16,20,17,14,14,0,24,24,0
2011/11/17,28,25,19,19,0,4,4,0
2011/11/18,5,5,20,20,0,1,1,0
2011/11/19,2,2,21,21,0,0,0,0
2011/11/20,3,0,21,21,0,20,20,0
2011/11/21,19,18,21,21,0,27,27,0
2011/11/22,29,21,8,8,0,31,31,0
2011/11/23,32,29,8,8,0,44,44,0
2011/11/24,45,44,9,9,0,11,11,0
2011/11/25,15,13,12,12,0,19,19,0
2011/11/26,18,18,12,12,0,4,4,0
2011/11/27,5,5,12,12,0,39,39,0
2011/11/28,37,35,10,10,0,40,40,0
2011/11/29,37,32,7,7,0,18,18,0
2011/11/30,19,16,10,10,0,8,8,0
2011/12/01,12,4,12,12,0,18,18,0
2011/12/02,26,14,14,15,1,1,1,0
2011/12/03,2,0,15,16,1,10,11,1
2011/12/04,13,9,14,15,1,15,15,0
2011/12/05,19,7,13,14,1,45,45,0
2011/12/06,53,43,16,18,2,26,26,0
2011/12/07,22,15,11,13,2,45,45,0
2011/12/08,45,43,11,13,2,29,30,1
2011/12/09,41,36,21,22,1,4,5,1
2011/12/10,8,4,20,21,1,1,1,0
2011/12/11,0,0,19,20,1,3,4,1
2011/12/12,7,3,20,20,0,36,36,0
2011/12/13,43,35,23,23,0,37,37,0
2011/12/14,38,30,22,22,0,37,37,0
2011/12/15,33,27,12,12,0,30,30,0
2011/12/16,32,25,12,12,0,1,1,0
2011/12/17,4,0,15,15,0,0,0,0
2011/12/18,0,0,15,15,0,20,25,5
2011/12/19,20,6,5,5,0,5,5,0
2011/12/20,12,7,6,6,0,28,28,0
2011/12/21,29,16,6,6,0,15,16,1
2011/12/22,15,12,8,8,0,14,14,0
2011/12/23,15,15,10,10,0,1,1,0
2011/12/24,0,0,10,10,0,1,1,0
2011/12/25,0,0,10,10,0,5,5,0
2011/12/26,5,4,10,11,1,7,7,0
2011/12/27,7,7,10,11,1,29,29,0
2011/12/28,27,25,9,10,1,11,11,0
2011/12/29,13,13,11,12,1,0,0,0
2011/12/30,0,0,11,12,1,2,2,0
2011/12/31,2,2,11,12,1,0,0,0
2012/01/01,0,0,11,12,1,0,0,0
2012/01/02,0,0,11,12,1,6,6,0
2012/01/03,9,5,11,12,1,16,16,0
2012/01/04,12,10,10,11,1,8,8,0
2012/01/05,11,8,11,12,1,15,15,0
2012/01/06,13,10,10,11,1,0,0,0
2012/01/07,0,0,10,11,1,0,0,0
2012/01/08,0,0,10,11,1,9,10,1
2012/01/09,10,8,3,3,0,6,6,0
2012/01/10,7,7,3,3,0,19,19,0
2012/01/11,20,19,3,3,0,43,43,0
2012/01/12,45,40,3,3,0,24,24,0
2012/01/13,25,25,4,4,0,2,2,0
2012/01/14,3,2,5,5,0,1,1,0
2012/01/15,0,0,5,5,0,4,4,0
2012/01/16,4,2,5,5,0,17,17,0
2012/01/17,14,13,3,3,0,23,23,0
2012/01/18,30,21,4,4,0,14,14,0
2012/01/19,14,14,4,4,0,9,9,0
2012/01/20,9,9,4,4,0,6,8,2
2012/01/21,9,7,4,4,0,31,36,5
2012/01/22,39,25,4,5,1,5,6,1
2012/01/23,7,3,3,4,1,13,13,0
2012/01/24,14,13,3,4,1,22,23,1
2012/01/25,25,21,3,3,0,30,30,0
2012/01/26,32,28,5,5,0,8,8,0
2012/01/27,10,8,5,5,0,0,0,0
2012/01/28,0,0,5,5,0,0,0,0
2012/01/29,0,0,5,5,0,0,0,0
2012/01/30,0,0,5,5,0,6,6,0
2012/01/31,7,5,4,4,0,15,15,0
2012/02/01,17,16,4,4,0,56,56,0
2012/02/02,56,52,4,4,0,30,30,0
2012/02/03,34,28,6,6,0,4,4,0
2012/02/04,4,4,6,6,0,0,0,0
2012/02/05,0,0,6,6,0,18,18,0
2012/02/06,36,19,7,7,0,43,43,0
2012/02/07,46,46,9,9,0,36,36,0
2012/02/08,35,35,9,9,0,49,49,0
2012/02/09,48,46,7,7,0,27,27,0
2012/02/10,30,27,9,9,0,1,1,0
2012/02/11,2,2,9,9,0,8,8,0
2012/02/12,7,7,9,9,0,34,34,0
2012/02/13,35,33,9,9,0,22,22,0
2012/02/14,27,22,12,12,0,14,14,0
2012/02/15,19,14,15,15,0,10,10,0
2012/02/16,8,4,15,15,0,26,26,0
2012/02/17,30,23,15,15,0,6,6,0
2012/02/18,8,8,17,17,0,3,3,0
2012/02/19,1,1,15,15,0,9,9,0
2012/02/20,11,7,18,19,1,11,11,0
2012/02/21,12,9,16,19,3,24,24,0
2012/02/22,25,24,18,21,3,20,20,0
2012/02/23,22,20,20,23,3,24,25,1
2012/02/24,20,17,18,20,2,8,9,1
2012/02/25,9,2,20,22,2,4,5,1
2012/02/26,0,0,20,22,2,22,24,2
2012/02/27,15,14,15,17,2,38,40,2
2012/02/28,38,33,16,17,1,21,22,1
2012/02/29,26,22,18,19,1,9,10,1
2012/03/01,7,7,18,19,1,3,4,1
2012/03/02,1,1,10,11,1,2,3,1
2012/03/03,0,0,9,10,1,2,3,1
2012/03/04,0,0,9,10,1,12,13,1
2012/03/05,10,10,9,10,1,15,16,1
2012/03/06,18,17,10,11,1,16,17,1
2012/03/07,16,14,10,11,1,29,30,1
2012/03/08,28,26,10,11,1,36,37,1
2012/03/09,38,36,12,13,1,27,28,1
2012/03/10,27,25,12,13,1,2,4,2
2012/03/11,0,0,12,13,1,30,38,8
2012/03/12,35,25,9,10,1,29,30,1
2012/03/13,33,30,12,14,2,40,41,1
2012/03/14,40,34,13,15,2,45,51,6
2012/03/15,47,43,13,13,0,36,37,1
2012/03/16,38,27,12,12,0,1,1,0
2012/03/17,0,0,12,12,0,1,1,0
2012/03/18,2,0,11,12,1,14,15,1
2012/03/19,14,13,10,11,1,13,13,0
2012/03/20,14,13,10,12,2,11,11,0
2012/03/21,10,9,9,11,2,7,7,0
2012/03/22,17,4,9,20,11,13,13,0
2012/03/23,28,12,16,33,17,5,5,0
2012/03/24,1,1,16,33,17,4,4,0
2012/03/25,0,0,16,33,17,12,29,17
2012/03/26,6,2,14,14,0,24,24,0
2012/03/27,19,17,10,10,0,14,14,0
2012/03/28,12,10,10,10,0,14,14,0
2012/03/29,13,8,10,10,0,17,17,0
2012/03/30,17,10,11,11,0,1,1,0
2012/03/31,0,0,11,11,0,1,1,0
2012/04/01,0,0,11,11,0,20,20,0
2012/04/02,25,16,11,11,0,23,23,0
2012/04/03,24,20,12,12,0,24,24,0
