date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/07/22,set([]),0,0,0,0,0,0,0,0
2012/07/23,set([16414L]),1,0,1,1,0,0,0,0
2012/07/24,set([16414L]),0,0,1,1,0,0,0,0
2012/07/25,set([]),0,0,0,0,0,0,0,0
2012/07/26,set([]),0,0,0,0,0,0,0,0
2012/07/27,set([]),0,0,0,0,0,0,0,0
2012/07/28,set([]),0,0,0,0,0,0,0,0
2012/07/29,set([]),0,0,0,0,0,0,0,0
2012/07/30,set([]),0,0,0,0,0,0,0,0
2012/07/31,set([]),0,0,0,0,0,0,0,0
2012/08/01,set([]),0,0,0,0,0,0,0,0
2012/08/02,set([]),0,0,0,0,0,0,0,0
2012/08/03,set([]),0,0,0,0,0,0,0,0
2012/08/04,set([]),0,0,0,0,0,0,0,0
2012/08/05,set([]),0,0,0,0,0,0,0,0
2012/08/06,set([]),0,0,0,0,0,0,0,0
2012/08/07,set([]),0,0,0,0,0,0,0,0
2012/08/08,set([]),0,0,0,0,0,0,0,0
2012/08/09,set([]),0,0,0,0,0,0,0,0
2012/08/10,set([18652L]),1,0,1,1,0,0,0,0
2012/08/11,set([18652L]),0,0,1,1,0,0,0,0
2012/08/12,set([18652L]),0,0,1,1,0,0,0,0
2012/08/13,set([18652L]),0,0,1,1,0,0,0,0
2012/08/14,set([18652L]),0,0,1,1,0,0,0,0
