date,commits,self_review,time_first_review_staff,time_first_review_total,time_first_review_volunteer,time_plus2_staff,time_plus2_total,time_plus2_volunteer
2012/03/23,1,0,0,0,0,0,0,0
2012/04/30,1,0,0,0,0,0,0,0
2012/05/05,1,0,0,0,0,0,0,0
2012/05/06,1,1,0,1,1,0,0,0
2012/05/07,0,0,0,0,0,0,1,1
2012/05/12,1,0,0,0,0,0,0,0
2012/05/20,1,0,0,0,0,0,0,0
2012/05/21,1,0,0,0,0,0,0,0
2012/05/23,1,0,0,0,0,0,0,0
2012/05/25,1,0,0,0,0,0,0,0
2012/06/03,1,0,0,0,0,0,0,0
2012/06/11,1,0,0,0,0,0,0,0
2012/06/14,1,0,0,0,0,0,0,0
2012/06/30,1,0,0,0,0,0,0,0
2012/07/01,1,0,0,0,0,0,0,0
2012/07/04,1,0,0,0,0,0,0,0
2012/07/23,1,0,0,0,0,0,0,0
2012/07/27,1,0,0,0,0,0,0,0
2012/07/30,1,0,0,0,0,0,0,0
