data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-12-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-12-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-14-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,2,2012-06-06 10:56:02,2,0
6-14-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-15-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-16-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
6-17-2012,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,4,2012-06-05 22:44:40,4,0
2012-06-18,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,5,2012-06-05 22:44:40,5,0
2012-06-19,mediawiki/extensions/EducationProgram,0,2030-01-01 00:00:00,0,0,5,2012-06-05 22:44:40,5,0
