date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/06/14,set([]),0,0,0,0,0,0,0,0
2012/06/15,set([]),2,1,0,0,0,0,0,0
2012/06/16,set([]),0,0,0,0,0,0,0,0
2012/06/17,set([]),0,0,0,0,0,0,0,0
2012/06/18,set([11880L, 11942L]),2,2,0,2,2,0,0,0
2012/06/19,set([11880L, 12002L, 12003L, 11942L]),2,2,0,4,4,0,0,0
2012/06/20,set([11880L, 12002L, 12003L, 11942L]),0,0,0,4,4,0,0,0
2012/06/21,set([11880L, 12002L, 12003L, 11942L]),0,0,0,4,4,0,0,0
2012/06/22,set([11880L, 12002L, 12003L, 11942L]),0,0,0,4,4,0,0,0
2012/06/23,set([11880L, 12002L, 12003L, 11942L]),0,0,0,4,4,0,0,0
2012/06/24,set([11880L, 12002L, 12003L, 11942L]),0,0,0,4,4,0,0,0
2012/06/25,set([11880L, 12002L, 12003L, 11942L]),4,0,0,4,4,0,0,0
2012/06/26,set([12002L, 12003L, 11942L]),2,0,0,3,3,0,0,0
2012/06/27,set([12002L, 12003L]),3,1,0,2,2,0,0,0
2012/06/28,set([]),2,1,0,0,0,0,0,0
2012/06/29,set([]),1,0,0,0,0,0,0,0
2012/06/30,set([]),0,0,0,0,0,0,0,0
2012/07/01,set([]),1,0,0,0,0,0,0,0
2012/07/02,set([]),0,0,0,0,0,0,0,0
2012/07/03,set([]),0,0,0,0,0,0,0,0
2012/07/04,set([]),0,0,0,0,0,0,0,0
2012/07/05,set([]),1,0,0,0,0,0,0,0
2012/07/06,set([]),1,0,0,0,0,0,0,0
2012/07/07,set([]),1,0,0,0,0,0,0,0
2012/07/08,set([]),0,0,0,0,0,0,0,0
2012/07/09,set([]),0,0,0,0,0,0,0,0
2012/07/10,set([]),1,0,0,0,0,0,0,0
2012/07/11,set([]),1,0,0,0,0,0,0,0
2012/07/12,set([]),0,0,0,0,0,0,0,0
2012/07/13,set([]),0,0,0,0,0,0,0,0
2012/07/14,set([]),0,0,0,0,0,0,0,0
2012/07/15,set([]),0,0,0,0,0,0,0,0
2012/07/16,set([]),0,0,0,0,0,0,0,0
2012/07/17,set([]),0,0,0,0,0,0,0,0
2012/07/18,set([]),0,0,0,0,0,0,0,0
2012/07/19,set([]),1,0,0,0,0,0,0,0
2012/07/20,set([]),2,1,0,0,0,0,0,0
2012/07/21,set([]),0,0,0,0,0,0,0,0
2012/07/22,set([]),0,0,0,0,0,0,0,0
2012/07/23,set([]),1,0,0,0,0,0,0,0
2012/07/24,set([]),0,0,0,0,0,0,0,0
2012/07/25,set([]),0,0,0,0,0,0,0,0
2012/07/26,set([]),0,0,0,0,0,0,0,0
2012/07/27,set([]),0,0,0,0,0,0,0,0
2012/07/28,set([]),0,0,0,0,0,0,0,0
2012/07/29,set([]),0,0,0,0,0,0,0,0
2012/07/30,set([]),0,0,0,0,0,0,0,0
2012/07/31,set([]),0,0,0,0,0,0,0,0
2012/08/01,set([]),1,0,0,0,0,0,0,0
2012/08/02,set([]),0,0,0,0,0,0,0,0
2012/08/03,set([]),1,0,0,0,0,0,0,0
2012/08/04,set([]),0,0,0,0,0,0,0,0
2012/08/05,set([]),1,0,0,0,0,0,0,0
2012/08/06,set([]),0,0,0,0,0,0,0,0
2012/08/07,set([]),0,0,0,0,0,0,0,0
2012/08/08,set([]),0,0,0,0,0,0,0,0
2012/08/09,set([]),2,1,0,0,0,0,0,0
2012/08/10,set([]),0,0,0,0,0,0,0,0
2012/08/11,set([]),1,0,0,0,0,0,0,0
2012/08/12,set([]),0,0,0,0,0,0,0,0
2012/08/13,set([]),0,0,0,0,0,0,0,0
2012/08/14,set([]),0,0,0,0,0,0,0,0
