date,commits,self_review,time_first_review_staff,time_first_review_total,time_first_review_volunteer,time_plus2_staff,time_plus2_total,time_plus2_volunteer
2012/03/23,1,0,0,0,0,0,0,0
2012/03/24,2,0,0,2,2,0,0,0
2012/03/29,3,0,0,3,3,0,0,0
2012/04/01,2,0,0,1,1,0,1,1
2012/04/05,1,0,0,0,0,0,0,0
2012/04/11,2,0,0,0,0,0,1,1
2012/04/16,4,0,0,0,0,0,0,0
2012/04/17,4,2,0,0,0,0,0,0
2012/04/18,1,0,0,0,0,0,0,0
2012/04/19,1,0,0,0,0,0,0,0
2012/04/20,1,0,0,0,0,0,0,0
2012/04/21,1,0,0,0,0,0,0,0
2012/04/22,1,0,0,0,0,0,0,0
2012/04/23,1,0,0,0,0,0,0,0
2012/04/24,1,0,0,0,0,0,0,0
2012/04/25,1,0,0,0,0,0,0,0
2012/04/26,1,0,0,0,0,0,0,0
2012/04/27,1,0,0,0,0,0,0,0
2012/05/01,1,0,0,0,0,0,0,0
2012/05/03,1,0,0,0,0,0,1,1
2012/05/05,1,0,0,0,0,0,0,0
2012/05/07,1,0,0,0,0,0,0,0
2012/05/08,2,0,0,0,0,0,0,0
2012/05/09,1,0,0,0,0,0,0,0
2012/05/10,1,0,0,0,0,0,0,0
2012/05/11,1,0,0,0,0,0,0,0
2012/05/12,1,0,0,0,0,0,0,0
2012/05/13,1,0,0,0,0,0,0,0
2012/05/14,1,0,0,0,0,0,0,0
2012/05/20,4,0,0,0,0,0,0,0
2012/05/21,1,0,0,0,0,0,0,0
2012/05/22,1,0,0,0,0,0,0,0
2012/05/24,1,0,0,0,0,0,0,0
2012/05/25,1,0,0,0,0,0,0,0
2012/05/27,2,0,0,1,1,0,0,0
2012/05/28,1,0,0,0,0,0,0,0
2012/05/29,2,1,1,1,0,0,0,0
2012/05/30,1,0,0,0,0,0,0,0
2012/05/31,1,0,0,0,0,0,0,0
2012/06/01,2,0,0,1,1,0,0,0
2012/06/02,1,0,0,1,1,0,0,0
2012/06/03,2,0,0,0,0,0,0,0
2012/06/04,1,0,0,0,0,0,0,0
2012/06/05,1,0,0,0,0,0,0,0
2012/06/07,0,0,0,0,0,0,1,1
2012/06/08,0,0,0,0,0,0,1,1
2012/06/10,1,0,0,0,0,0,0,0
2012/06/11,1,0,0,0,0,0,0,0
2012/06/13,1,0,0,0,0,0,0,0
2012/06/14,2,0,0,0,0,0,0,0
2012/06/16,0,0,0,0,0,1,1,0
2012/06/17,1,0,0,0,0,0,0,0
2012/06/19,1,0,0,0,0,0,0,0
2012/06/20,1,0,0,0,0,0,0,0
2012/06/21,1,0,0,0,0,0,0,0
2012/06/22,1,0,0,0,0,0,0,0
2012/06/23,1,0,0,0,0,0,0,0
2012/06/24,1,0,0,0,0,0,0,0
2012/06/25,2,0,0,0,0,0,0,0
2012/06/27,1,0,0,0,0,0,0,0
2012/06/29,1,0,0,0,0,0,0,0
2012/07/02,1,0,0,0,0,0,0,0
2012/07/03,1,0,0,0,0,1,1,0
2012/07/04,1,0,0,0,0,0,0,0
2012/07/05,1,0,0,0,0,0,0,0
2012/07/08,1,0,0,0,0,0,0,0
2012/07/10,1,0,0,0,0,0,0,0
2012/07/11,1,0,0,0,0,0,0,0
2012/07/17,1,1,0,0,0,0,0,0
2012/07/23,1,0,0,0,0,0,0,0
2012/07/26,1,0,0,0,0,0,0,0
2012/07/30,1,0,0,0,0,0,0,0
2012/07/31,1,0,0,0,0,0,0,0
2012/08/01,1,0,0,0,0,0,0,0
2012/08/02,1,0,0,0,0,0,0,0
2012/08/03,1,0,0,0,0,0,0,0
2012/08/04,3,1,0,1,1,0,0,0
2012/08/05,1,0,0,0,0,0,0,0
2012/08/06,1,0,0,0,0,0,0,0
2012/08/07,1,0,0,0,0,0,0,0
