data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-12-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-12-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-14-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-14-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-15-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-16-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
6-17-2012,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
2012-06-18,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
2012-06-19,mediawiki/extensions/Score,0,2030-01-01 00:00:00,0,0,3,2012-05-12 17:16:03,0,3
