date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/07/20,2,0,0,0,0,0,0,0
2012/07/21,0,0,0,0,0,0,0,0
2012/07/22,0,0,0,0,0,0,0,0
2012/07/23,0,0,0,0,0,0,0,0
2012/07/24,0,0,0,0,0,0,0,0
2012/07/25,0,0,0,0,0,0,0,0
2012/07/26,0,0,0,0,0,0,0,0
2012/07/27,1,0,0,0,0,0,0,0
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,0,0,0
2012/07/30,0,0,0,0,0,0,0,0
2012/07/31,0,0,0,0,0,0,0,0
2012/08/01,1,0,0,0,0,0,0,0
2012/08/02,0,0,0,0,0,0,0,0
2012/08/03,2,0,1,1,0,0,0,0
2012/08/04,0,0,1,1,0,0,0,0
2012/08/05,0,0,1,1,0,0,0,0
2012/08/06,0,0,0,0,0,0,0,0
2012/08/07,0,0,0,0,0,0,0,0
2012/08/08,0,0,0,0,0,0,0,0
2012/08/09,0,0,0,0,0,0,0,0
2012/07/20,2,0,0,0,0,0,0,0
2012/07/21,0,0,0,0,0,0,0,0
2012/07/22,0,0,0,0,0,0,0,0
2012/07/23,0,0,0,0,0,0,0,0
2012/07/24,0,0,0,0,0,0,0,0
2012/07/25,0,0,0,0,0,0,0,0
2012/07/26,0,0,0,0,0,0,0,0
2012/07/27,1,0,0,0,0,0,0,0
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,0,0,0
2012/07/30,0,0,0,0,0,0,0,0
2012/07/31,0,0,0,0,0,0,0,0
2012/08/01,1,0,0,0,0,0,0,0
2012/08/02,0,0,0,0,0,0,0,0
2012/08/03,2,0,1,1,0,0,0,0
2012/08/04,0,0,1,1,0,0,0,0
2012/08/05,0,0,1,1,0,0,0,0
2012/08/06,0,0,0,0,0,0,0,0
2012/08/07,0,0,0,0,0,0,0,0
2012/08/08,0,0,0,0,0,0,0,0
2012/08/09,0,0,0,0,0,0,0,0
2012/07/20,2,0,0,0,0,0,0,0
2012/07/21,0,0,0,0,0,0,0,0
2012/07/22,0,0,0,0,0,0,0,0
2012/07/23,0,0,0,0,0,0,0,0
2012/07/24,0,0,0,0,0,0,0,0
2012/07/25,0,0,0,0,0,0,0,0
2012/07/26,0,0,0,0,0,0,0,0
2012/07/27,1,0,0,0,0,0,0,0
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,0,0,0
2012/07/30,0,0,0,0,0,0,0,0
2012/07/31,0,0,0,0,0,0,0,0
2012/08/01,1,0,0,0,0,0,0,0
2012/08/02,0,0,0,0,0,0,0,0
2012/08/03,2,0,1,1,0,0,0,0
2012/08/04,0,0,1,1,0,0,0,0
2012/08/05,0,0,1,1,0,0,0,0
2012/08/06,0,0,0,0,0,0,0,0
2012/08/07,0,0,0,0,0,0,0,0
2012/08/08,0,0,0,0,0,0,0,0
2012/08/09,0,0,0,0,0,0,0,0
2012/08/10,0,0,0,0,0,0,0,0
2012/07/20,2,0,0,0,0,0,0,0
2012/07/21,0,0,0,0,0,0,0,0
2012/07/22,0,0,0,0,0,0,0,0
2012/07/23,0,0,0,0,0,0,0,0
2012/07/24,0,0,0,0,0,0,0,0
2012/07/25,0,0,0,0,0,0,0,0
2012/07/26,0,0,0,0,0,0,0,0
2012/07/27,1,0,0,0,0,0,0,0
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,0,0,0
2012/07/30,0,0,0,0,0,0,0,0
2012/07/31,0,0,0,0,0,0,0,0
2012/08/01,1,0,0,0,0,0,0,0
2012/08/02,0,0,0,0,0,0,0,0
2012/08/03,2,0,1,1,0,0,0,0
2012/08/04,0,0,1,1,0,0,0,0
2012/08/05,0,0,1,1,0,0,0,0
2012/08/06,0,0,0,0,0,0,0,0
2012/08/07,0,0,0,0,0,0,0,0
2012/08/08,0,0,0,0,0,0,0,0
2012/08/09,0,0,0,0,0,0,0,0
2012/08/10,1,0,0,0,0,0,0,0
2012/08/11,0,0,0,0,0,0,0,0
