data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-14-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-14-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-15-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-16-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-17-2012,integration/jenkins,0,2030-01-01 00:00:00,0,0,1,2012-06-17 21:32:26,1,0
2012-06-18,integration/jenkins,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
2012-06-19,integration/jenkins,0,2030-01-01 00:00:00,0,0,1,2012-06-19 21:04:00,1,0
